Project,Official Website,Repo,Gmane Mailing list
Allura,https://allura.apache.org/,https://git-wip-us.apache.org/repos/asf/allura,apache
AngularJS,https://angularjs.org/,https://github.com/angular/angular.js.git,gmane.comp.lang.javascript.angularjs
APR,http://apr.apache.org/,git://git.apache.org/apr.git,gmane.comp.apache.apr.devel
Arduino,http://www.arduino.cc/,https://github.com/arduino/Arduino.git,gmane.comp.hardware.arduino.devel
Audacity,http://www.audacityteam.org/,https://github.com/audacity/audacity.git,gmane.comp.audio.audacity.devel
Bitcoin,https://bitcoin.org/,https://github.com/bitcoin/bitcoin.git,gmane.comp.bitcoin.devel
Blender,https://www.blender.org/,https://git.blender.org/blender.git,gmane.comp.video.blender.devel
Calligra,https://www.calligra.org/,git://anongit.kde.org/calligra.git,gmane.comp.kde.devel.calligra
Capistrano,http://www.capistranorb.com/,https://github.com/capistrano/capistrano.git,gmane.comp.lang.ruby.capistrano.general
Cassandra,http://cassandra.apache.org/,http://git-wip-us.apache.org/repos/asf/cassandra.git,gmane.comp.db.cassandra.devel
Cayenne,http://cayenne.apache.org/,git://git.apache.org/cayenne.git,gmane.comp.java.cayenne.devel
CXF,http://cxf.apache.org/,git://git.apache.org/cxf.git,gmane.comp.apache.cxf.devel
Django,https://www.djangoproject.com/,https://github.com/django/django.git,gmane.comp.python.django.devel
Eclipse-CDT,https://eclipse.org/cdt/,https://git.eclipse.org/r/cdt/org.eclipse.cdt,gmane.comp.ide.eclipse.cdt.devel
Emacs,https://www.gnu.org/software/emacs/,git://git.savannah.gnu.org/emacs.git,gmane.emacs.devel
Enlightenment,https://www.enlightenment.org/,https://git.enlightenment.org/core/enlightenment.git,gmane.comp.window-managers.enlightenment.devel
FFmpeg,https://ffmpeg.org/,git://source.ffmpeg.org/ffmpeg.git ,gmane.comp.video.ffmpeg.devel
Firefox,https://www.mozilla.org/firefox/,https://github.com/mozilla/gecko-dev.git,gmane.comp.mozilla.firefox.devel
GIMP,https://www.gimp.org/,git://git.gnome.org/gimp,gmane.comp.video.gimp.devel
Git,https://git-scm.com/,https://github.com/git/git.git,gmane.comp.version-control.git
GitLab,https://gitlab.com/,https://github.com/gitlabhq/gitlabhq.git,gmane.comp.version-control.gitlab
Gnome-shell,https://www.gnome.org/,git://git.gnome.org/gnome-shell,gmane.comp.gnome.shell
gPhoto,http://gphoto.org/,svn://svn.code.sf.net/p/gphoto/code/trunk,gmane.comp.multimedia.gphoto.devel
GRUB,https://www.gnu.org/software/grub/,git://git.savannah.gnu.org/grub.git,gmane.comp.boot-loaders.grub.devel
Gstreamer,https://gstreamer.freedesktop.org/,git://anongit.freedesktop.org/gstreamer/gstreamer,gmane.comp.video.gstreamer.devel
Guix,https://www.gnu.org/software/guix/,git://git.savannah.gnu.org/guix/dhcp.git,gmane.comp.gnu.guix.devel
ipython,http://ipython.org/,https://github.com/ipython/ipython.git,gmane.comp.python.ipython.devel
Jackrabbit,http://jackrabbit.apache.org/jcr/index.html,git://git.apache.org/jackrabbit.git,gmane.comp.apache.jackrabbit.devel
JDO,https://db.apache.org/jdo/,http://svn.apache.org/repos/asf/db/jdo,gmane.comp.apache.db.jdo.devel
Jena,https://jena.apache.org/,git://git.apache.org/jena.git,gmane.comp.apache.jena.devel
Krita,https://krita.org/en/,git://anongit.kde.org/krita.git,gmane.comp.kde.devel.krita
